3840,PATIO PEDREGAL,01 55,5606-7003,5606-7446,5665-7986,,,5665-7986,"MEXICO, D.F",AREA METROPOLITANA,"Periférico Sur No 5270 Col. Sta. Úrsula Coyoacán Mexico, D.F. C.P. 04650"
3841,LILAS,155,52-59-33-34,52-59-38-89,52-59-40-93,,,,"MEXICO, D.F",AREA METROPOLITANA,"Paseo de Las Lilas No.92 Col. Bosques De Las Lomas Delegación Cuajimalpa Mexico, D.F. C.P. 05120"
3842,RIO CHURUBUSCO,01 55,56-01-00-25,56-01-07-76,56-01-02-22,56-01-08-46, ,,"MEXICO, D.F",AREA METROPOLITANA,"Ajusco No. 126 Col. Portales C.P. 03300 Delegación Benito Juarez México, D.F."
3843,DIVISIÓN DEL NORTE,01 55,56-10-34-07,56-10-27-48,,,,,"MEXICO, D.F",AREA METROPOLITANA,"División del Nte.  No. 3651 Col. Sn. Pablo Tepetlapa Delegación Coyoacán Mexico, D.F. C.P. 04600"
3844,BOSQUES DE MINAS,01 55,52-95-41-21,52-95-45-25,52-95-13-07,,,52-95-55-98,ESTADO DE MEXICO,AREA METROPOLITANA,"Bosque de Minas No. 33 Col. Bosques de La Herradura Huixquilucan, Edo. de Mexico C.P. 52783"
3849,ESMERALDA,01 55,53-08-20-48,53-08-20-40,53-08-20-39,53-08-20-38,,Ext.131,ESTADO DE MEXICO,AREA METROPOLITANA,"Vía Doctor Jorge Jimenez Cantu S/N Col. Plaza Del Condado C.P. 52930 Atizapán de Zaragoza, Edo. De Mexico"
3881,SANTA FE,01 55,52-92-29-90,52-92-29-91,,,,52-92-10-77,"MEXICO, D.F",AREA METROPOLITANA,"Av. Tamaulipas No. 3000 Col. Santa Fe Delegación Cuajimalpa Mexico, D.F. C.P. 05340"
3896,FTES. PEDREGAL,01 55,54-46-39-25,54-46-39-26,54-46-39-27,54-46-39-29,54-46-39-30,54-46-45-80,"MEXICO, D.F",AREA METROPOLITANA,"Calle Unión No. 3 Colonia Fuentes del Pedregal Delegación Tlalpan Mexico, D.F. C.P. 14220"
3906,GOBERNADORES,01 777, 311-91-73, 311-91-74, 311-91-75, 311-91-76,,,MORELOS,CUERNAVACA,"Ave. Vicente Guerrero No. 760  (Ocotepec y Bélgica) Col. Lomas de La Selva Cuernavaca, Mor. C.P. 62270"
3915,AV. TOLUCA,01 55,56-83-13-51,56-83-13-68,56-83-13-66,56-83-13-53,,,"MEXICO, D.F",AREA METROPOLITANA,"Av. Toluca No. 511  Col. Olivar de Los Padres Delegación Alvaro Obregón Mexico, D.F. C.P. 01780"
3921,VISTA HERMOSA,01 55,21-63-20-20,21-63-20-21,21-63-20-22,21-63-20-23,,,"MEXICO, D.F",AREA METROPOLITANA,"Av. Noche de Paz No. 38 Col. Granjas Navidad  Delegación Cuajimalpa Mexico, D.F. C.P. 05219"
3941,TULUM,01 998,802-21-86,802-21-88,802-21-90,,,,"CANCUN, QUINTANA ROO",CANCUN ,"Av. Tulum SM 11  Manzana 2 Lote 3 entre las calles Av. Nichupté y Acanceh. Col.  Supermanzana 11  C.P. 77504 Benito Juárez, Quintana Roo"
4063,VALLE REAL,01 33,36-56-30-65,36-56-34-83,36-56-36-00,36-56-39-17,36-56-39-28,36-56-40-91,JALISCO,ZAPOPAN,"Av. Santa Margarita No. 4000, esq. Av. Del Servidor Público, Col. Valle Real, C.P. 45136, Zapopan, Jalisco"
4543,LA NORIA,01 22,22-11-30-10,22-11-30-11,22-11-30-12,,,EXT.112,"PUEBLA, PUE",PUEBLA ,"Circuito Interior No. 1751 Col. La Noria Entre Calle 21 Sur y 19 Sur Puebla,  Pue. C.P. 72410"
4544,AVILA CAMACHO,01 777,102-06-65,102-06-67,102-06-68,102-06-69,,102-06-76,MORELOS,CUERNAVACA,"Manuel Avila Camacho No. 606 Col. Tlaltenango Cuernavaca, Morelos C.P. 62170"
5773,RÍO MAYO,01 777,3228844,3167823,3167269,3165164,3166829,,MORELOS,CUERNAVACA,"Rio Mayo No. 1209 Col. Vista Hermosa Cuernavaca, Mor. C.P. 62290"
5796,PUERTA DE HIERRO,01 33,36-11-11-93,36-11-11-94,36-11-11-97,,,Ext. 133,JALISCO,ZAPOPAN,"Av. Patria No. 2051 Fracc. Real Acueducto Zapopan, Jal. C. P. 45116"
5815,JURICA,01 442,199-08-38,199-08-39,199-08-40,199-08-41,199-08-42,199-08-43,"QUERETARO, QRO.",QUERETARO,"Av. 5 de Febrero No. 9222  Col. Ampliación Júrica Querétaro, Qro. C.P.  76100"
5817,AXOMIATLA,01 55,56-35-92-89,56-35-94-66,56-35-93-54,56-35-93-24,56-35-51-84,56-35-95-21,"MEXICO, D.F",AREA METROPOLITANA,"Calz. de Las Águilas No. 1819 Col. San Antonio Tarango Delg. Alvaro Obregón Mexico, D.F. C.P. 01780"
